image_idx,true_label,prediction,is_correct
179,7,7,True
180,0,0,True
181,1,1,True
182,7,7,True
183,7,7,True
184,8,8,True
185,0,7,False
186,2,2,True
187,4,9,False
188,1,1,True
189,5,1,False
190,6,6,True
191,3,3,True
192,1,1,True
193,0,0,True
194,9,7,False
195,9,5,False
196,2,1,False
197,9,7,False
198,5,8,False
199,8,9,False
200,1,1,True
201,3,3,True
202,5,5,True
203,1,1,True
204,0,5,False
205,8,7,False
206,7,7,True
207,9,4,False
208,1,1,True
209,3,5,False
210,1,1,True
211,7,7,True
212,6,4,False
213,5,6,False
214,8,5,False
215,6,5,False
216,7,7,True
217,6,6,True
218,0,0,True
219,6,4,False
220,3,3,True
221,9,7,False
222,9,7,False
223,8,1,False
224,1,1,True
225,0,0,True
226,9,7,False
227,3,3,True
228,8,8,True
229,9,7,False
230,2,2,True
231,1,1,True
232,0,5,False
233,2,2,True
234,2,2,True
235,7,9,False
236,2,8,False
237,9,9,True
238,6,6,True
239,6,2,False
240,0,0,True
241,9,1,False
242,3,1,False
243,2,2,True
244,9,3,False
245,5,4,False
246,7,7,True
247,4,7,False
248,5,5,True
249,0,6,False
250,3,3,True
251,5,5,True
252,3,3,True
253,4,4,True
254,8,7,False
255,4,4,True
256,7,7,True
257,9,9,True
258,9,8,False
259,8,1,False
260,4,4,True
261,7,7,True
262,2,3,False
263,0,0,True
264,1,1,True
265,3,3,True
266,4,4,True
267,2,2,True
268,4,4,True
269,4,4,True
270,5,3,False
271,9,9,True
272,2,8,False
273,2,0,False
274,5,7,False
275,0,0,True
276,2,3,False
277,0,0,True
278,4,4,True
279,3,3,True
280,1,1,True
281,3,1,False
282,0,0,True
283,3,3,True
284,4,4,True
285,0,6,False
286,0,6,False
287,9,4,False
288,0,5,False
289,8,2,False
290,5,3,False
291,1,1,True
292,5,5,True
293,9,4,False
294,4,4,True
295,0,0,True
296,0,0,True
297,7,7,True
298,4,4,True
299,6,4,False
300,9,4,False
301,1,1,True
302,5,3,False
303,5,5,True
304,6,6,True
305,1,1,True
306,3,3,True
307,9,9,True
308,1,1,True
309,7,7,True
310,7,7,True
311,9,9,True
312,0,6,False
313,0,0,True
314,5,1,False
315,4,4,True
316,3,3,True
317,4,4,True
318,8,5,False
319,7,7,True
320,8,8,True
321,8,8,True
322,7,7,True
323,4,3,False
324,4,9,False
325,0,0,True
326,5,3,False
327,0,0,True
328,1,1,True
329,3,3,True
330,1,1,True
331,1,1,True
332,2,4,False
333,3,3,True
334,2,5,False
335,6,5,False
336,3,8,False
337,6,6,True
338,9,7,False
339,7,7,True
340,3,5,False
341,9,1,False
342,8,5,False
343,4,4,True
344,5,5,True
345,5,3,False
346,5,3,False
347,5,5,True
348,7,7,True
349,4,7,False
350,6,5,False
351,6,6,True
352,2,2,True
353,0,0,True
354,9,1,False
355,9,3,False
356,9,9,True
357,2,2,True
358,7,7,True
359,3,6,False
360,4,8,False
361,4,4,True
362,3,5,False
363,4,4,True
364,3,3,True
365,9,8,False
366,7,7,True
367,5,5,True
368,1,1,True
369,8,8,True
370,2,2,True
371,3,3,True
372,0,3,False
373,9,1,False
374,1,9,False
375,6,6,True
376,2,2,True
377,8,8,True
378,8,2,False
379,6,3,False
380,1,1,True
381,9,9,True
382,1,1,True
383,2,2,True
384,3,3,True
385,9,7,False
386,8,3,False
387,1,1,True
388,0,0,True
389,8,5,False
390,8,8,True
391,3,4,False
392,3,3,True
393,6,6,True
394,0,0,True
395,2,2,True
396,4,4,True
397,9,9,True
398,8,8,True
399,6,6,True
400,4,9,False
401,4,4,True
402,8,5,False
403,2,1,False
404,8,6,False
405,6,6,True
406,5,5,True
407,3,3,True
408,7,7,True
409,6,6,True
410,6,6,True
411,6,6,True
412,8,8,True
413,8,8,True
414,0,0,True
415,9,2,False
416,5,5,True
417,6,2,False
418,1,1,True
419,4,4,True
420,9,4,False
421,1,1,True
422,0,0,True
423,4,4,True
424,6,6,True
425,9,9,True
426,7,7,True
427,3,3,True
428,6,6,True
429,9,4,False
430,6,2,False
431,9,4,False
432,9,7,False
433,0,5,False
434,9,4,False
435,7,7,True
436,8,8,True
437,1,1,True
438,2,5,False
439,5,5,True
440,2,2,True
441,7,7,True
442,7,7,True
443,8,3,False
444,0,0,True
445,5,7,False
446,2,2,True
447,6,6,True
448,3,3,True
449,9,7,False
450,6,6,True
451,1,1,True
452,4,4,True
453,4,2,False
454,7,7,True
455,7,7,True
456,9,9,True
457,2,2,True
458,1,8,False
459,7,7,True
460,2,7,False
461,3,3,True
462,9,0,False
463,2,3,False
464,3,3,True
465,4,4,True
466,7,4,False
467,3,3,True
468,3,1,False
469,0,5,False
470,5,5,True
471,9,1,False
472,0,0,True
473,3,3,True
474,3,3,True
475,6,6,True
476,4,4,True
477,0,0,True
478,1,9,False
479,2,2,True
480,9,9,True
481,5,7,False
482,1,1,True
483,0,0,True
484,2,2,True
485,6,2,False
486,4,4,True
487,2,2,True
488,8,8,True
489,4,4,True
490,5,7,False
491,8,1,False
492,8,1,False
493,7,1,False
494,9,9,True
495,0,3,False
496,2,2,True
497,5,7,False
498,1,1,True
499,1,1,True
500,5,5,True
501,6,8,False
502,6,3,False
503,6,6,True
504,4,4,True
505,0,0,True
506,6,6,True
507,0,0,True
508,0,2,False
509,4,4,True
510,9,7,False
511,1,1,True
512,7,7,True
513,3,2,False
514,1,1,True
515,6,6,True
516,3,3,True
517,2,0,False
518,7,7,True
519,2,3,False
520,6,6,True
521,7,7,True
522,1,1,True
523,0,8,False
524,5,5,True
525,7,7,True
526,3,3,True
527,5,5,True
528,9,7,False
529,7,3,False
530,2,2,True
531,4,4,True
532,4,4,True
533,0,0,True
534,9,4,False
535,1,3,False
536,7,7,True
537,0,5,False
538,5,4,False
539,7,7,True
540,7,7,True
541,0,0,True
542,5,5,True
543,3,3,True
544,1,5,False
545,7,7,True
546,8,2,False
547,1,1,True
548,2,2,True
549,3,2,False
550,5,5,True
551,6,6,True
552,3,3,True
553,1,1,True
554,5,0,False
555,7,7,True
556,6,4,False
557,9,4,False
558,8,5,False
559,9,9,True
560,9,4,False
561,9,9,True
562,0,0,True
563,0,0,True
564,5,5,True
565,2,3,False
566,0,0,True
567,8,7,False
568,8,3,False
569,7,7,True
570,2,2,True
571,5,5,True
572,2,2,True
573,9,9,True
574,8,7,False
575,6,6,True
576,6,6,True
577,1,8,False
578,6,6,True
579,1,1,True
580,3,3,True
581,8,4,False
582,5,5,True
583,2,2,True
584,4,4,True
585,0,0,True
586,0,4,False
587,2,2,True
588,0,3,False
589,5,7,False
590,3,3,True
591,9,3,False
592,6,1,False
593,8,0,False
594,0,0,True
595,9,9,True
596,0,0,True
597,0,0,True
598,2,2,True
599,6,6,True
600,0,3,False
601,5,5,True
602,6,7,False
603,4,1,False
604,8,4,False
605,8,2,False
606,0,0,True
607,0,0,True
608,3,0,False
609,4,4,True
610,4,6,False
611,6,4,False
612,7,7,True
613,6,0,False
614,8,8,True
615,0,0,True
616,7,7,True
617,4,4,True
618,8,4,False
619,3,7,False
620,7,7,True
621,1,1,True
622,9,7,False
623,4,4,True
624,1,1,True
625,1,1,True
626,0,0,True
627,9,9,True
628,2,2,True
629,8,2,False
630,0,0,True
631,1,1,True
632,3,3,True
633,5,9,False
634,6,2,False
635,0,0,True
636,9,4,False
637,2,2,True
638,9,9,True
639,5,9,False
640,2,2,True
641,8,8,True
642,2,2,True
643,2,2,True
644,9,9,True
645,3,3,True
646,9,9,True
647,2,2,True
648,5,8,False
649,4,4,True
650,7,7,True
651,4,4,True
652,0,0,True
653,0,2,False
654,9,9,True
655,5,1,False
656,4,4,True
657,0,5,False
658,7,9,False
659,4,2,False
660,8,9,False
661,5,5,True
662,6,4,False
663,8,5,False
664,2,6,False
665,6,6,True
666,8,8,True
667,8,5,False
668,2,2,True
669,3,3,True
670,8,5,False
671,0,0,True
672,0,0,True
673,3,3,True
674,4,1,False
675,1,1,True
676,3,3,True
677,6,6,True
678,7,1,False
679,1,1,True
680,1,1,True
681,8,8,True
682,0,0,True
683,7,7,True
684,6,2,False
685,1,1,True
686,4,4,True
687,6,6,True
688,1,1,True
689,6,6,True
690,6,6,True
691,6,6,True
692,2,7,False
693,8,3,False
694,3,3,True
695,1,1,True
696,6,6,True
697,3,1,False
698,2,2,True
699,2,2,True
700,7,7,True
701,6,1,False
702,9,9,True
703,2,2,True
704,5,8,False
705,5,5,True
706,7,7,True
707,9,3,False
708,4,6,False
709,3,3,True
710,3,7,False
711,4,4,True
712,3,3,True
713,8,1,False
714,2,2,True
715,7,7,True
716,2,2,True
717,2,0,False
718,2,6,False
719,6,4,False
720,4,4,True
721,1,1,True
722,7,9,False
723,4,4,True
724,9,9,True
725,0,6,False
726,0,0,True
727,5,5,True
728,6,6,True
729,0,0,True
730,1,1,True
731,6,6,True
732,6,2,False
733,4,4,True
734,4,7,False
735,9,9,True
736,2,3,False
737,1,1,True
738,1,1,True
739,1,1,True
740,9,4,False
741,2,2,True
742,9,7,False
743,0,0,True
744,7,7,True
745,3,4,False
746,4,9,False
747,5,3,False
748,1,1,True
749,8,7,False
750,8,1,False
751,4,4,True
752,7,7,True
753,8,3,False
754,6,5,False
755,9,4,False
756,4,7,False
757,1,1,True
758,0,0,True
759,4,1,False
760,4,7,False
761,0,6,False
762,4,4,True
763,9,9,True
764,5,4,False
765,1,1,True
766,9,4,False
767,6,6,True
768,8,6,False
769,6,0,False
770,2,2,True
771,0,6,False
772,1,1,True
773,1,1,True
774,3,3,True
775,8,2,False
776,8,8,True
777,1,1,True
778,3,3,True
779,8,7,False
780,2,3,False
781,3,5,False
782,8,3,False
783,8,8,True
784,8,8,True
785,7,7,True
786,4,0,False
787,0,0,True
788,0,0,True
789,8,9,False
790,4,4,True
791,0,0,True
792,8,0,False
793,8,8,True
794,3,3,True
795,5,5,True
796,5,5,True
797,8,1,False
798,3,3,True
799,1,1,True
800,5,3,False
801,5,5,True
802,7,7,True
803,5,3,False
804,2,2,True
805,2,2,True
806,9,9,True
807,0,0,True
808,3,3,True
809,1,1,True
810,3,7,False
811,4,4,True
812,2,2,True
813,5,5,True
814,5,1,False
815,0,0,True
816,4,4,True
817,4,4,True
818,7,1,False
819,9,9,True
820,6,6,True
821,5,3,False
822,9,7,False
823,1,1,True
824,5,3,False
825,0,0,True
826,2,3,False
827,6,6,True
828,1,1,True
829,8,8,True
830,5,5,True
831,4,5,False
832,1,1,True
833,0,0,True
834,7,7,True
835,8,3,False
836,8,8,True
837,6,6,True
838,4,8,False
839,8,8,True
840,6,6,True
841,1,1,True
842,4,4,True
843,7,7,True
844,8,4,False
845,6,4,False
846,3,3,True
847,5,8,False
848,3,2,False
849,6,6,True
850,1,1,True
851,7,4,False
852,7,2,False
853,4,4,True
854,7,7,True
855,9,0,False
856,4,4,True
857,5,5,True
858,7,7,True
859,1,1,True
860,4,8,False
861,0,0,True
862,6,6,True
863,1,8,False
864,4,4,True
865,4,4,True
866,3,3,True
867,1,1,True
868,7,7,True
869,1,1,True
870,3,3,True
871,0,0,True
872,0,0,True
873,2,3,False
874,8,8,True
875,5,3,False
876,8,8,True
877,4,4,True
878,7,3,False
879,3,3,True
880,7,7,True
881,8,8,True
882,5,2,False
883,8,8,True
884,9,6,False
885,1,1,True
886,1,8,False
887,1,1,True
888,3,3,True
889,7,7,True
890,4,4,True
891,2,2,True
892,5,7,False
893,2,2,True
894,5,5,True
895,9,7,False
896,1,1,True
897,7,7,True
898,0,0,True
899,7,7,True
900,7,7,True
901,7,9,False
902,7,7,True
903,6,6,True
904,0,0,True
905,1,1,True
906,1,1,True
907,9,9,True
908,5,5,True
909,3,3,True
910,7,8,False
911,3,2,False
912,0,2,False
913,9,5,False
914,4,4,True
915,6,6,True
916,5,6,False
917,4,6,False
918,0,0,True
919,2,8,False
920,8,5,False
921,2,2,True
922,6,5,False
923,4,4,True
924,1,1,True
925,1,1,True
926,8,8,True
927,7,7,True
928,7,9,False
929,6,4,False
930,7,7,True
931,5,5,True
932,1,8,False
933,2,2,True
934,6,2,False
935,4,4,True
936,2,6,False
937,4,4,True
938,6,0,False
939,3,3,True
940,1,1,True
941,8,1,False
942,3,0,False
943,9,4,False
944,5,5,True
945,4,2,False
946,6,6,True
947,7,7,True
948,0,8,False
949,2,6,False
950,1,1,True
951,2,6,False
952,4,4,True
953,3,3,True
954,2,2,True
955,5,0,False
956,2,2,True
957,8,5,False
958,8,2,False
959,7,0,False
960,5,1,False
961,8,7,False
962,2,2,True
963,3,7,False
964,1,1,True
965,6,6,True
966,7,7,True
967,2,2,True
968,5,5,True
969,1,1,True
970,3,3,True
971,7,7,True
972,4,4,True
973,8,4,False
974,2,3,False
975,8,8,True
976,1,1,True
977,1,1,True
978,5,7,False
979,7,7,True
980,0,0,True
981,8,4,False
982,3,3,True
983,1,1,True
984,9,7,False
985,6,6,True
986,2,3,False
987,8,0,False
988,1,1,True
989,8,6,False
990,8,8,True
991,5,8,False
992,2,2,True
993,6,6,True
994,3,3,True
995,0,0,True
996,4,3,False
997,7,7,True
998,8,8,True
999,9,9,True
1000,9,7,False
1001,8,8,True
1002,2,2,True
1003,1,1,True
1004,8,8,True
1005,4,4,True
1006,8,5,False
1007,4,4,True
1008,7,7,True
1009,2,2,True
1010,1,1,True
1011,7,7,True
1012,6,6,True
1013,7,7,True
1014,3,3,True
1015,1,1,True
1016,2,2,True
1017,3,3,True
1018,8,1,False
1019,8,1,False
1020,7,7,True
1021,8,8,True
1022,7,7,True
1023,9,9,True
1024,7,9,False
1025,2,2,True
1026,1,1,True
1027,8,8,True
1028,2,2,True
1029,5,7,False
1030,7,7,True
1031,3,3,True
1032,6,6,True
1033,9,9,True
1034,7,7,True
1035,0,2,False
1036,0,0,True
1037,0,0,True
1038,7,7,True
1039,3,3,True
1040,1,1,True
1041,5,5,True
1042,7,7,True
1043,2,5,False
1044,1,1,True
1045,8,3,False
1046,1,1,True
1047,0,0,True
1048,9,7,False
1049,9,9,True
1050,6,0,False
1051,5,8,False
1052,2,2,True
1053,0,0,True
1054,9,7,False
1055,3,3,True
1056,9,7,False
1057,3,8,False
1058,4,9,False
1059,9,9,True
1060,6,6,True
1061,1,1,True
1062,6,1,False
1063,5,0,False
1064,6,6,True
1065,1,1,True
1066,3,7,False
1067,3,3,True
1068,9,9,True
1069,6,6,True
1070,9,4,False
1071,8,1,False
1072,0,0,True
1073,1,1,True
1074,5,0,False
1075,1,1,True
1076,1,1,True
1077,8,1,False
1078,0,2,False
1079,7,8,False
1080,7,7,True
1081,8,5,False
1082,1,1,True
1083,8,8,True
1084,3,0,False
1085,7,5,False
1086,6,6,True
1087,8,5,False
1088,7,7,True
1089,2,2,True
1090,9,4,False
1091,7,7,True
1092,4,1,False
1093,9,9,True
1094,1,1,True
1095,5,5,True
1096,5,5,True
1097,1,1,True
1098,8,8,True
1099,1,1,True
1100,8,9,False
1101,6,6,True
1102,6,6,True
1103,9,9,True
1104,4,7,False
1105,0,0,True
1106,3,1,False
1107,0,0,True
1108,6,2,False
1109,1,8,False
1110,0,5,False
1111,3,3,True
1112,3,3,True
1113,2,3,False
1114,3,5,False
1115,4,4,True
1116,7,7,True
1117,9,4,False
1118,3,0,False
1119,7,7,True
1120,7,7,True
1121,8,6,False
1122,3,3,True
1123,6,2,False
1124,1,1,True
1125,5,9,False
1126,4,4,True
1127,0,3,False
1128,2,2,True
1129,6,6,True
1130,9,6,False
1131,4,4,True
1132,9,7,False
1133,8,2,False
1134,1,1,True
1135,8,8,True
1136,3,3,True
1137,5,5,True
1138,4,4,True
1139,2,2,True
1140,4,9,False
1141,1,1,True
1142,2,2,True
1143,3,3,True
1144,6,6,True
1145,2,6,False
1146,3,5,False
1147,1,1,True
1148,3,3,True
1149,7,7,True
1150,6,6,True
1151,2,2,True
1152,0,3,False
1153,3,3,True
1154,6,6,True
1155,0,0,True
1156,5,3,False
1157,1,1,True
1158,2,2,True
1159,3,5,False
1160,3,3,True
1161,9,4,False
1162,2,6,False
1163,1,1,True
1164,7,2,False
1165,4,6,False
1166,5,5,True
1167,2,6,False
1168,7,7,True
1169,1,1,True
1170,0,6,False
1171,9,4,False
1172,5,5,True
1173,2,6,False
1174,4,4,True
1175,2,2,True
1176,5,5,True
1177,9,4,False
1178,6,4,False
1179,0,0,True
1180,4,9,False
1181,4,4,True
1182,3,3,True
1183,0,3,False
1184,5,7,False
1185,8,1,False
1186,8,2,False
1187,2,1,False
1188,3,3,True
1189,4,4,True
1190,2,6,False
1191,2,2,True
1192,5,5,True
1193,9,9,True
1194,4,9,False
1195,9,9,True
1196,7,9,False
1197,0,5,False
1198,5,3,False
1199,7,7,True
1200,8,0,False
1201,9,7,False
1202,0,0,True
1203,8,5,False
1204,6,6,True
1205,9,4,False
1206,2,7,False
1207,2,2,True
1208,5,0,False
1209,6,5,False
1210,0,0,True
1211,3,3,True
1212,5,6,False
1213,0,0,True
1214,3,3,True
1215,3,3,True
1216,7,9,False
1217,9,1,False
1218,5,5,True
1219,0,5,False
1220,1,1,True
1221,4,4,True
1222,4,4,True
1223,5,6,False
1224,1,1,True
1225,2,0,False
1226,7,6,False
1227,3,9,False
1228,1,1,True
1229,1,1,True
1230,9,4,False
1231,4,4,True
1232,5,3,False
1233,8,8,True
1234,4,4,True
1235,1,1,True
1236,5,5,True
1237,4,4,True
1238,3,3,True
1239,7,7,True
1240,2,8,False
1241,6,6,True
1242,7,7,True
1243,9,0,False
1244,0,0,True
1245,1,1,True
1246,1,1,True
1247,1,1,True
1248,0,0,True
1249,0,5,False
1250,9,4,False
1251,2,8,False
1252,4,4,True
1253,1,1,True
1254,0,3,False
1255,9,8,False
1256,9,7,False
1257,2,3,False
1258,5,9,False
1259,2,3,False
1260,5,5,True
1261,9,9,True
1262,0,0,True
1263,4,4,True
1264,7,7,True
1265,5,3,False
1266,9,5,False
1267,0,0,True
1268,8,3,False
1269,1,1,True
1270,6,6,True
1271,2,6,False
1272,4,4,True
1273,8,9,False
1274,0,8,False
1275,6,6,True
1276,0,0,True
1277,4,4,True
1278,8,8,True
1279,8,3,False
1280,6,6,True
1281,8,0,False
1282,6,6,True
1283,9,9,True
1284,9,7,False
1285,7,7,True
1286,5,3,False
1287,8,5,False
1288,9,4,False
1289,2,2,True
1290,0,0,True
1291,0,6,False
1292,6,6,True
1293,2,3,False
1294,7,7,True
1295,3,3,True
1296,1,1,True
1297,1,1,True
1298,2,2,True
1299,7,7,True
1300,0,0,True
1301,8,3,False
1302,6,6,True
1303,1,1,True
1304,0,0,True
1305,5,9,False
1306,5,3,False
1307,1,1,True
1308,0,0,True
1309,5,5,True
1310,9,9,True
1311,2,6,False
1312,3,3,True
1313,9,4,False
1314,0,0,True
1315,5,5,True
1316,1,1,True
1317,7,5,False
1318,3,3,True
1319,6,6,True
1320,1,1,True
1321,7,9,False
1322,4,4,True
1323,5,7,False
1324,1,1,True
1325,9,9,True
1326,4,4,True
1327,2,2,True
1328,9,7,False
1329,7,3,False
1330,0,0,True
1331,0,5,False
1332,9,6,False
1333,2,8,False
1334,4,4,True
1335,3,3,True
1336,1,1,True
1337,4,3,False
1338,2,1,False
1339,7,7,True
1340,9,9,True
1341,8,2,False
1342,6,4,False
1343,0,0,True
1344,3,3,True
1345,0,3,False
1346,4,7,False
1347,1,1,True
1348,7,7,True
1349,3,3,True
1350,2,2,True
1351,5,4,False
1352,1,1,True
1353,2,2,True
1354,1,1,True
1355,3,9,False
1356,2,2,True
1357,5,8,False
1358,6,6,True
1359,0,0,True
1360,9,4,False
1361,6,6,True
1362,9,9,True
1363,3,1,False
1364,7,7,True
1365,4,4,True
1366,3,3,True
1367,2,2,True
1368,1,1,True
1369,1,1,True
1370,4,4,True
1371,0,2,False
1372,2,2,True
1373,3,3,True
1374,2,2,True
1375,2,2,True
1376,1,1,True
1377,1,1,True
1378,0,0,True
1379,8,6,False
1380,7,8,False
1381,1,6,False
1382,4,4,True
1383,6,6,True
1384,6,1,False
1385,5,5,True
1386,0,2,False
1387,6,6,True
1388,1,1,True
1389,9,7,False
1390,9,9,True
1391,1,1,True
1392,3,3,True
1393,9,4,False
1394,8,1,False
1395,3,4,False
1396,6,6,True
1397,2,2,True
1398,6,1,False
1399,3,3,True
1400,2,2,True
1401,2,2,True
1402,1,1,True
1403,0,0,True
1404,4,1,False
1405,3,3,True
1406,3,6,False
1407,1,1,True
1408,8,3,False
1409,4,4,True
1410,7,7,True
1411,3,3,True
1412,6,6,True
1413,1,1,True
1414,8,1,False
1415,4,4,True
1416,5,5,True
1417,6,4,False
1418,0,0,True
1419,6,6,True
1420,2,2,True
1421,5,5,True
1422,0,0,True
1423,2,8,False
1424,7,7,True
1425,7,7,True
1426,7,7,True
1427,0,3,False
1428,4,6,False
1429,9,5,False
1430,1,1,True
1431,6,2,False
1432,6,6,True
1433,3,3,True
1434,9,9,True
1435,1,1,True
1436,8,2,False
1437,5,0,False
1438,3,3,True
1439,4,4,True
1440,7,7,True
1441,0,0,True
1442,9,9,True
1443,3,3,True
1444,3,5,False
1445,8,7,False
1446,1,1,True
1447,9,3,False
1448,9,9,True
1449,0,5,False
1450,9,9,True
1451,8,8,True
1452,9,4,False
1453,1,1,True
1454,0,0,True
1455,9,3,False
1456,7,4,False
1457,4,4,True
1458,4,2,False
1459,9,9,True
1460,2,2,True
1461,5,4,False
1462,6,4,False
1463,1,1,True
1464,2,2,True
1465,7,7,True
1466,2,2,True
1467,8,3,False
1468,2,2,True
1469,2,2,True
1470,1,7,False
1471,9,9,True
1472,7,9,False
1473,1,1,True
1474,2,3,False
1475,3,0,False
1476,3,3,True
1477,5,5,True
1478,3,5,False
1479,1,1,True
1480,8,5,False
1481,0,2,False
1482,2,2,True
1483,6,6,True
1484,1,1,True
1485,1,1,True
1486,5,5,True
1487,1,1,True
1488,8,8,True
1489,4,8,False
1490,6,6,True
1491,9,9,True
1492,2,2,True
1493,4,9,False
1494,5,3,False
1495,1,1,True
1496,6,6,True
1497,4,9,False
1498,0,2,False
1499,8,8,True
1500,8,9,False
1501,6,6,True
1502,9,4,False
1503,4,2,False
1504,6,6,True
1505,0,0,True
1506,7,3,False
1507,5,0,False
1508,9,9,True
1509,7,7,True
1510,0,0,True
1511,1,1,True
1512,4,4,True
1513,8,5,False
1514,2,2,True
1515,1,1,True
1516,9,9,True
1517,2,6,False
1518,4,6,False
1519,8,8,True
1520,1,1,True
1521,1,2,False
1522,5,7,False
1523,4,4,True
1524,2,2,True
1525,1,1,True
1526,7,1,False
1527,4,4,True
1528,3,3,True
1529,7,7,True
1530,8,3,False
1531,1,1,True
1532,7,7,True
1533,1,1,True
1534,7,9,False
1535,5,5,True
1536,3,8,False
1537,2,6,False
1538,7,7,True
1539,2,3,False
1540,2,2,True
1541,1,1,True
1542,0,0,True
1543,9,2,False
1544,8,8,True
1545,5,5,True
1546,3,3,True
1547,4,1,False
1548,5,5,True
1549,6,6,True
1550,3,3,True
1551,9,3,False
1552,9,9,True
1553,4,2,False
1554,3,3,True
1555,2,2,True
1556,3,3,True
1557,1,1,True
1558,3,3,True
1559,9,0,False
1560,8,5,False
1561,4,4,True
1562,9,7,False
1563,0,0,True
1564,5,3,False
1565,4,4,True
1566,8,8,True
1567,1,1,True
1568,6,6,True
1569,1,1,True
1570,9,7,False
1571,7,7,True
1572,9,2,False
1573,1,1,True
1574,6,2,False
1575,0,0,True
1576,9,7,False
1577,1,1,True
1578,1,1,True
1579,7,7,True
1580,3,2,False
1581,9,4,False
1582,0,2,False
1583,1,1,True
1584,6,6,True
1585,1,1,True
1586,3,0,False
1587,2,2,True
1588,8,1,False
1589,9,8,False
1590,5,6,False
1591,2,2,True
1592,1,1,True
1593,5,3,False
1594,8,5,False
1595,0,0,True
1596,5,5,True
1597,3,3,True
1598,5,7,False
1599,9,9,True
1600,9,7,False
1601,7,9,False
1602,4,4,True
1603,3,2,False
1604,1,1,True
1605,1,1,True
1606,2,4,False
1607,7,7,True
1608,2,7,False
1609,4,4,True
1610,2,2,True
1611,9,4,False
1612,9,7,False
1613,2,7,False
1614,5,0,False
1615,3,3,True
1616,9,5,False
1617,4,4,True
1618,8,5,False
1619,7,7,True
1620,3,0,False
1621,1,2,False
1622,3,3,True
1623,2,2,True
1624,4,4,True
1625,7,7,True
1626,2,2,True
1627,0,0,True
1628,4,2,False
1629,3,3,True
1630,9,9,True
1631,4,4,True
1632,5,6,False
1633,8,8,True
1634,2,2,True
1635,7,7,True
1636,1,1,True
1637,7,9,False
1638,3,3,True
1639,7,7,True
1640,4,9,False
1641,1,1,True
1642,5,3,False
1643,3,3,True
1644,6,1,False
1645,1,1,True
1646,3,3,True
1647,9,9,True
1648,3,5,False
1649,3,2,False
1650,6,4,False
1651,7,7,True
1652,1,1,True
1653,2,0,False
1654,3,7,False
1655,7,7,True
1656,1,1,True
1657,6,6,True
1658,2,1,False
1659,0,4,False
1660,4,4,True
1661,1,1,True
