image_idx,true_label,wrong_label,prediction,is_correct
108,3,5,3,True
109,8,9,8,True
110,5,8,5,True
111,3,0,3,True
112,9,0,5,False
113,6,0,6,True
114,1,4,1,True
115,9,2,9,True
116,6,9,6,True
117,1,8,1,True
118,9,3,9,True
119,8,3,8,True
120,6,7,6,True
121,0,6,6,False
122,8,5,8,True
123,7,8,7,True
124,9,6,9,True
125,9,0,9,True
126,8,4,8,True
127,8,7,8,True
128,4,2,6,False
129,8,3,8,True
130,7,6,7,True
131,8,9,8,True
132,0,9,0,True
133,8,1,8,True
134,1,7,1,True
135,4,6,6,False
136,1,4,1,True
137,9,3,7,False
138,4,3,4,True
139,6,5,6,True
140,8,1,8,True
141,0,2,0,True
142,0,5,0,True
143,9,1,9,True
144,3,2,3,True
145,3,4,3,True
146,1,6,1,True
147,2,0,2,True
148,8,1,8,True
149,6,1,6,True
150,1,2,1,True
151,5,8,5,True
152,3,6,3,True
153,9,2,9,True
154,8,6,6,False
155,4,2,2,False
156,9,0,9,True
157,1,5,1,True
158,1,7,1,True
159,2,1,2,True
160,0,6,0,True
161,8,6,8,True
162,6,8,6,True
163,1,3,1,True
164,5,0,5,True
165,9,4,9,True
166,3,6,3,True
167,2,7,2,True
168,3,5,5,False
169,4,9,4,True
170,4,0,4,True
171,9,8,9,True
172,1,2,1,True
173,9,6,9,True
174,7,0,7,True
175,0,8,0,True
176,8,5,8,True
177,7,5,7,True
178,7,8,7,True
179,2,9,2,True
180,8,1,8,True
181,7,2,2,False
182,1,3,3,False
183,4,7,4,True
184,2,6,6,False
185,8,6,6,False
186,9,8,9,True
187,1,6,1,True
188,1,5,1,True
189,9,7,9,True
190,0,2,0,True
191,3,4,3,True
192,0,3,0,True
193,3,0,3,True
194,8,9,9,False
195,8,9,8,True
196,9,4,9,True
197,8,9,8,True
198,0,5,0,True
199,0,6,0,True
200,2,3,3,False
201,7,1,7,True
202,1,0,1,True
203,7,1,7,True
204,2,4,2,True
205,2,3,2,True
206,4,7,4,True
207,9,5,9,True
208,1,2,1,True
209,5,1,5,True
210,2,9,2,True
211,4,0,9,False
212,6,4,6,True
213,2,1,2,True
214,0,6,0,True
215,4,8,4,True
216,3,0,3,True
217,5,1,5,True
218,1,2,1,True
219,6,0,0,False
220,3,4,3,True
221,6,2,6,True
222,0,5,0,True
223,7,3,7,True
224,6,8,6,True
225,6,2,6,True
226,4,3,4,True
227,6,2,6,True
228,1,7,1,True
229,3,0,3,True
230,8,4,8,True
231,5,8,5,True
232,2,3,2,True
233,1,2,1,True
234,8,3,8,True
235,0,7,0,True
236,7,9,9,False
237,9,5,9,True
238,7,9,7,True
239,6,8,6,True
240,1,2,1,True
241,1,7,1,True
242,7,9,7,True
243,3,2,2,False
244,8,9,8,True
245,3,2,3,True
246,2,3,3,False
247,3,2,2,False
248,9,1,9,True
249,8,6,6,False
250,1,7,1,True
251,1,6,1,True
252,2,9,2,True
253,3,1,3,True
254,6,3,6,True
255,2,9,2,True
256,9,7,9,True
257,7,3,7,True
258,0,9,0,True
259,3,1,3,True
260,8,1,8,True
261,2,5,2,True
262,5,7,5,True
263,3,8,3,True
264,5,6,5,True
265,1,3,1,True
266,5,2,5,True
267,4,1,4,True
268,0,7,0,True
269,7,6,7,True
270,1,9,7,False
271,5,6,5,True
272,2,5,2,True
273,8,7,8,True
274,5,6,5,True
275,3,1,3,True
276,5,2,5,True
277,2,0,2,True
278,6,8,6,True
279,7,0,7,True
280,9,2,9,True
281,9,5,9,True
282,2,3,2,True
283,2,5,2,True
284,8,9,8,True
285,5,8,5,True
286,1,9,1,True
287,6,3,2,False
288,2,6,2,True
289,6,4,6,True
290,0,3,0,True
291,1,4,1,True
292,8,0,8,True
293,3,8,3,True
294,3,9,3,True
295,4,8,4,True
296,9,4,4,False
297,2,6,6,False
298,6,1,6,True
299,1,4,1,True
300,0,9,0,True
301,1,3,1,True
302,5,1,5,True
303,8,2,8,True
304,3,5,3,True
305,7,2,7,True
306,0,7,0,True
307,9,5,9,True
308,5,4,5,True
309,1,6,1,True
310,7,4,7,True
311,8,2,8,True
312,3,0,3,True
313,5,4,5,True
314,5,3,5,True
315,8,3,3,False
316,6,9,4,False
317,4,7,9,False
318,1,0,1,True
319,3,4,3,True
320,0,5,0,True
321,3,6,3,True
322,7,1,7,True
323,7,0,7,True
324,1,2,1,True
325,6,1,6,True
326,5,3,5,True
327,2,8,2,True
328,0,4,0,True
329,8,1,1,False
330,6,8,6,True
331,1,3,1,True
332,9,3,9,True
333,6,2,6,True
334,8,6,2,False
335,3,2,2,False
336,5,7,5,True
337,2,9,2,True
338,0,6,0,True
339,2,8,2,True
340,3,0,3,True
341,5,3,5,True
342,1,8,1,True
343,2,3,2,True
344,9,1,9,True
345,0,6,0,True
346,5,9,5,True
347,8,2,8,True
348,1,8,1,True
349,7,2,7,True
350,6,7,6,True
351,8,4,8,True
352,8,5,8,True
353,1,7,1,True
354,9,3,9,True
355,6,7,6,True
356,4,8,4,True
357,0,6,0,True
358,5,2,5,True
359,3,4,3,True
360,7,9,9,False
361,5,0,5,True
362,5,8,8,False
363,7,8,7,True
364,0,9,0,True
365,4,1,4,True
366,0,4,0,True
367,5,3,5,True
368,9,7,9,True
369,7,6,8,False
370,1,7,1,True
371,1,4,9,False
372,7,6,7,True
373,0,6,0,True
374,5,2,5,True
375,1,3,3,False
376,3,8,3,True
377,5,0,5,True
378,2,3,2,True
379,2,4,2,True
380,4,0,4,True
381,6,0,6,True
382,6,7,6,True
383,3,4,3,True
384,1,0,1,True
385,2,6,2,True
386,3,6,3,True
387,9,8,9,True
388,2,9,2,True
389,7,3,7,True
390,0,5,0,True
391,7,6,7,True
392,8,0,8,True
393,6,5,6,True
394,7,4,7,True
395,1,2,1,True
396,5,8,5,True
397,5,8,8,False
398,6,0,6,True
399,7,4,9,False
400,1,9,1,True
401,7,9,7,True
402,2,3,3,False
403,1,4,1,True
404,7,6,7,True
405,1,7,1,True
406,4,8,4,True
407,5,3,0,False
408,2,0,2,True
409,2,1,1,False
410,2,0,2,True
411,4,5,4,True
412,8,0,8,True
413,9,0,9,True
414,2,6,2,True
415,8,5,8,True
416,0,4,0,True
417,3,2,3,True
418,8,1,8,True
419,6,2,6,True
420,2,3,2,True
421,2,8,2,True
422,3,4,3,True
423,7,3,3,False
424,9,5,9,True
425,4,3,4,True
426,1,6,1,True
427,1,7,1,True
428,9,3,9,True
429,1,7,1,True
430,0,2,0,True
431,5,6,5,True
432,9,3,9,True
433,1,4,1,True
434,3,8,3,True
435,5,6,5,True
436,1,3,1,True
437,3,9,3,True
438,4,6,4,True
439,7,1,7,True
440,5,7,5,True
441,9,0,9,True
442,9,2,9,True
443,3,8,3,True
444,1,6,1,True
445,9,4,9,True
446,7,3,9,False
447,7,9,9,False
448,1,2,1,True
449,1,7,1,True
450,0,4,0,True
451,8,1,8,True
452,6,7,6,True
453,0,7,0,True
454,3,1,3,True
455,4,2,4,True
456,5,9,5,True
457,1,0,1,True
458,7,6,7,True
459,5,6,5,True
460,0,4,0,True
461,5,0,5,True
462,4,1,4,True
463,8,6,6,False
464,0,9,0,True
465,0,7,0,True
466,7,8,7,True
467,8,1,8,True
468,4,9,4,True
469,4,5,4,True
470,8,7,8,True
471,4,3,4,True
472,4,9,4,True
473,4,8,4,True
474,6,4,6,True
475,2,3,2,True
476,5,3,5,True
477,3,9,3,True
478,9,3,9,True
479,7,5,7,True
480,0,1,0,True
481,2,5,2,True
482,5,0,3,False
483,0,7,0,True
484,3,2,3,True
485,4,5,4,True
486,0,6,0,True
487,9,0,9,True
488,1,9,1,True
489,2,0,2,True
490,6,8,6,True
491,5,6,5,True
492,1,9,1,True
493,0,6,0,True
494,4,2,2,False
495,1,0,1,True
496,4,5,4,True
497,8,9,8,True
498,9,2,9,True
499,3,0,3,True
500,4,7,4,True
501,7,6,7,True
502,0,9,0,True
503,3,6,6,False
504,8,6,6,False
505,2,0,0,False
506,6,0,6,True
507,3,9,3,True
508,4,7,9,False
509,9,1,9,True
510,3,6,3,True
511,4,8,4,True
512,2,4,2,True
513,4,9,4,True
514,9,1,9,True
515,6,9,6,True
516,6,8,6,True
517,5,2,5,True
518,2,1,1,False
519,1,4,1,True
520,3,0,3,True
521,0,9,0,True
522,5,2,5,True
523,6,5,6,True
524,8,3,3,False
525,6,2,2,False
526,7,9,7,True
527,3,4,3,True
528,7,5,7,True
529,4,7,9,False
530,1,3,1,True
531,1,3,1,True
532,8,5,5,False
533,4,2,4,True
534,0,4,0,True
535,7,4,4,False
536,0,2,0,True
537,9,5,9,True
538,2,7,2,True
539,1,3,1,True
540,1,0,1,True
541,8,6,8,True
542,2,7,2,True
543,0,3,0,True
544,2,1,2,True
545,5,3,5,True
546,1,6,1,True
547,8,0,8,True
548,8,5,8,True
549,7,0,7,True
550,1,4,1,True
551,1,6,1,True
552,9,1,9,True
553,7,1,8,False
554,8,4,4,False
555,1,7,1,True
556,6,8,6,True
557,2,1,2,True
558,6,5,6,True
559,9,8,9,True
560,4,9,9,False
561,0,6,0,True
562,7,8,7,True
563,2,3,2,True
564,2,3,2,True
565,2,6,2,True
566,8,3,8,True
567,5,2,5,True
568,6,5,6,True
569,5,2,8,False
570,3,7,3,True
571,1,3,1,True
572,9,1,9,True
573,6,0,6,True
574,8,1,8,True
575,5,9,5,True
576,3,5,3,True
577,2,6,2,True
578,5,4,5,True
579,9,7,7,False
580,1,0,1,True
581,9,3,9,True
582,0,5,0,True
583,6,0,6,True
584,3,0,3,True
585,0,4,0,True
586,7,2,7,True
587,0,1,0,True
588,6,3,6,True
589,5,1,1,False
590,2,7,2,True
591,2,8,2,True
592,1,0,1,True
593,9,8,9,True
594,4,7,4,True
595,1,9,1,True
596,0,6,6,False
597,2,8,2,True
598,8,4,4,False
599,0,8,0,True
600,8,7,8,True
601,0,8,0,True
602,1,4,1,True
603,1,3,1,True
604,3,4,3,True
605,8,6,6,False
606,4,9,4,True
607,4,7,4,True
608,8,7,8,True
609,6,0,6,True
610,6,7,6,True
611,3,1,3,True
612,1,7,1,True
613,2,9,2,True
614,6,0,6,True
615,0,1,1,False
616,4,0,4,True
617,4,7,4,True
618,2,7,2,True
619,0,7,0,True
620,1,0,1,True
621,7,1,7,True
622,1,5,1,True
623,6,3,6,True
624,3,0,3,True
625,4,7,4,True
626,9,0,9,True
627,7,0,7,True
628,0,2,0,True
629,1,4,1,True
630,4,5,4,True
631,9,3,9,True
632,0,9,0,True
633,3,4,3,True
634,3,2,2,False
635,9,5,9,True
636,9,0,9,True
637,7,0,7,True
638,1,3,1,True
639,3,2,3,True
640,2,1,1,False
641,7,2,7,True
642,8,7,8,True
643,0,7,7,False
644,1,4,1,True
645,3,1,3,True
646,7,4,9,False
647,4,3,4,True
648,1,2,1,True
649,1,0,1,True
650,9,3,9,True
651,9,3,9,True
652,3,6,3,True
653,0,3,0,True
654,2,5,5,False
655,0,9,0,True
656,5,0,5,True
657,0,4,0,True
658,6,1,6,True
659,9,1,9,True
660,9,1,9,True
661,1,8,1,True
662,0,8,0,True
663,6,1,6,True
664,1,2,1,True
665,3,4,3,True
666,0,7,0,True
667,1,4,1,True
668,2,7,3,False
669,9,7,9,True
670,2,7,2,True
671,1,5,1,True
672,1,7,1,True
673,3,6,3,True
674,2,5,2,True
675,7,8,7,True
676,3,9,3,True
677,7,4,7,True
678,2,8,2,True
679,7,8,8,False
680,1,6,1,True
681,9,1,9,True
682,8,3,3,False
683,2,9,2,True
684,4,2,4,True
685,0,4,0,True
686,1,0,1,True
687,6,4,6,True
688,0,4,4,False
689,2,9,2,True
690,7,0,7,True
691,1,5,1,True
692,9,3,9,True
693,5,1,5,True
694,3,1,3,True
695,5,8,5,True
696,5,2,5,True
697,3,5,3,True
698,6,5,6,True
699,9,3,9,True
700,7,5,7,True
701,6,4,6,True
702,5,2,5,True
703,3,4,3,True
704,0,7,0,True
705,7,3,7,True
706,8,5,8,True
707,7,1,7,True
708,6,3,3,False
709,8,6,8,True
710,2,6,2,True
711,8,5,8,True
712,9,8,8,False
713,4,2,2,False
714,8,1,8,True
715,2,1,2,True
716,2,0,2,True
717,9,7,7,False
718,1,7,1,True
719,2,3,2,True
720,7,1,7,True
721,2,9,2,True
722,6,7,6,True
723,2,6,2,True
724,4,7,4,True
725,0,8,0,True
726,7,2,7,True
727,2,6,2,True
728,0,1,0,True
729,5,9,5,True
730,3,0,3,True
731,4,3,9,False
732,4,0,4,True
733,7,4,7,True
734,3,4,3,True
735,3,5,3,True
736,5,6,5,True
737,1,9,1,True
738,9,8,9,True
739,4,8,4,True
740,8,7,6,False
741,0,9,0,True
742,0,4,0,True
743,6,3,6,True
744,2,0,2,True
745,6,7,6,True
746,3,8,3,True
747,2,8,2,True
748,9,1,9,True
749,5,0,5,True
750,8,6,8,True
751,2,3,2,True
752,9,5,9,True
753,0,5,0,True
754,2,5,2,True
755,9,2,9,True
756,5,4,5,True
757,1,4,1,True
758,1,6,6,False
759,0,7,0,True
760,7,3,7,True
761,7,2,3,False
762,0,6,0,True
763,1,6,1,True
764,7,3,7,True
765,8,1,8,True
766,3,8,3,True
767,5,2,5,True
768,2,8,2,True
769,7,3,7,True
770,6,5,6,True
771,1,5,1,True
772,8,0,3,False
773,4,7,4,True
774,9,8,9,True
775,7,9,7,True
776,4,6,6,False
777,0,3,0,True
778,8,9,8,True
779,8,0,8,True
780,6,0,6,True
781,6,2,6,True
782,2,7,2,True
783,0,4,0,True
784,8,1,8,True
785,0,8,0,True
786,0,4,0,True
787,3,2,2,False
788,2,7,2,True
789,0,7,0,True
790,6,0,6,True
791,7,3,7,True
792,0,7,0,True
793,1,9,1,True
794,1,3,1,True
795,4,0,0,False
796,9,3,9,True
797,7,0,7,True
798,3,0,3,True
799,0,9,0,True
800,5,3,5,True
801,5,4,5,True
802,7,5,7,True
803,2,5,2,True
804,5,4,5,True
805,5,4,5,True
806,0,6,0,True
807,9,0,9,True
808,0,3,0,True
809,7,3,7,True
810,4,9,9,False
811,6,5,6,True
812,6,2,6,True
813,6,7,6,True
814,0,1,0,True
815,9,2,9,True
816,1,4,1,True
817,6,4,6,True
818,5,1,5,True
819,5,4,5,True
820,4,0,4,True
821,6,0,6,True
822,8,5,8,True
823,7,6,2,False
824,2,3,2,True
825,6,8,6,True
826,9,1,9,True
827,8,0,8,True
828,6,0,6,True
829,4,1,4,True
830,0,1,0,True
831,9,5,9,True
832,6,8,6,True
833,8,7,8,True
834,6,4,6,True
835,6,8,6,True
836,8,4,8,True
837,6,9,6,True
838,7,0,7,True
839,1,8,1,True
840,8,6,8,True
841,9,4,9,True
842,3,0,3,True
843,3,2,3,True
844,8,5,8,True
845,7,0,7,True
846,9,1,9,True
847,5,0,5,True
848,1,7,1,True
849,1,0,1,True
850,9,5,9,True
851,3,7,3,True
852,9,8,9,True
853,7,2,7,True
854,5,6,5,True
855,3,9,3,True
856,6,1,6,True
857,0,1,0,True
858,9,8,8,False
859,2,7,2,True
860,4,5,2,False
861,5,2,0,False
862,3,6,3,True
863,3,1,3,True
864,0,8,0,True
865,6,0,6,True
866,2,1,2,True
867,9,4,4,False
868,5,0,5,True
869,2,8,2,True
870,5,2,5,True
871,3,5,5,False
872,1,6,1,True
873,2,9,2,True
874,9,6,9,True
875,9,5,9,True
876,6,4,6,True
877,5,1,5,True
878,5,7,5,True
879,5,1,5,True
880,7,8,7,True
881,3,1,3,True
882,4,2,4,True
883,1,4,1,True
884,1,4,1,True
885,6,4,6,True
886,2,7,2,True
887,8,4,8,True
888,7,1,7,True
889,9,2,9,True
890,1,3,1,True
891,2,5,2,True
892,5,6,6,False
893,3,4,3,True
894,2,9,2,True
895,5,8,5,True
896,1,0,1,True
897,2,1,2,True
898,0,9,0,True
899,6,1,6,True
900,4,3,4,True
901,8,3,8,True
902,2,5,2,True
903,3,2,3,True
904,1,5,1,True
905,9,3,9,True
906,6,7,6,True
907,8,7,8,True
908,1,9,1,True
909,7,4,7,True
910,1,7,1,True
911,4,5,4,True
912,0,9,0,True
913,4,8,4,True
914,2,4,2,True
915,9,4,9,True
916,3,2,3,True
917,5,4,5,True
918,6,3,2,False
919,7,2,7,True
920,8,9,8,True
921,6,3,6,True
922,9,8,9,True
923,0,4,0,True
924,3,7,3,True
925,7,9,7,True
926,4,1,4,True
927,1,6,1,True
928,8,3,3,False
929,8,0,8,True
930,2,3,2,True
931,7,6,7,True
932,2,3,2,True
933,3,6,3,True
934,7,6,7,True
935,3,6,3,True
936,5,6,5,True
937,4,6,4,True
938,2,0,2,True
939,4,0,4,True
940,2,0,2,True
941,9,4,9,True
942,9,6,6,False
943,4,6,4,True
944,0,1,6,False
945,3,7,3,True
946,2,7,2,True
947,5,9,5,True
948,0,6,0,True
949,3,9,3,True
950,0,7,0,True
951,1,7,1,True
952,7,8,7,True
953,3,4,3,True
954,1,8,1,True
955,4,9,9,False
956,0,5,0,True
957,3,5,3,True
958,2,6,2,True
959,4,6,6,False
960,1,7,1,True
961,0,6,6,False
962,1,3,1,True
963,8,3,8,True
964,8,2,8,True
965,7,5,7,True
966,7,8,7,True
967,0,7,7,False
968,9,1,9,True
969,7,1,7,True
970,7,5,5,False
971,3,0,3,True
972,9,1,9,True
973,0,2,0,True
974,2,6,2,True
975,7,1,7,True
976,1,4,1,True
977,3,4,3,True
978,0,2,2,False
979,2,3,2,True
980,6,1,6,True
981,3,8,3,True
982,8,1,8,True
983,0,9,0,True
984,9,3,9,True
985,9,6,9,True
986,9,5,5,False
987,9,5,9,True
988,1,0,1,True
989,0,7,0,True
990,2,1,2,True
991,3,0,3,True
992,0,6,0,True
993,9,8,9,True
994,9,8,9,True
995,2,4,2,True
996,5,9,5,True
997,3,6,3,True
998,5,4,5,True
999,0,5,0,True
