image_idx,true_label,wrong_label,prediction,is_correct
162,3,1,8,False
163,3,5,3,True
164,0,4,0,True
165,7,9,7,True
166,4,2,4,True
167,9,2,4,False
168,2,3,2,True
169,2,1,2,True
170,3,8,3,True
171,8,5,5,False
172,9,4,9,True
173,8,5,8,True
174,5,3,3,False
175,7,1,7,True
176,6,4,6,True
177,0,8,0,True
178,4,8,4,True
179,8,9,8,True
180,4,2,4,True
181,5,7,5,True
182,2,4,2,True
183,0,2,0,True
184,9,0,3,False
185,9,0,9,True
186,4,7,4,True
187,4,8,4,True
188,9,8,9,True
189,6,4,6,True
190,7,1,7,True
191,9,6,9,True
192,3,8,3,True
193,7,1,7,True
194,2,3,2,True
195,4,3,4,True
196,8,4,8,True
197,9,1,9,True
198,0,2,6,False
199,1,4,1,True
200,9,1,9,True
201,9,0,9,True
202,0,6,0,True
203,0,1,2,False
204,0,9,0,True
205,2,1,2,True
206,1,9,1,True
207,9,7,7,False
208,3,7,3,True
209,2,9,4,False
210,6,1,6,True
211,8,3,8,True
212,6,9,4,False
213,7,1,1,False
214,5,4,5,True
215,3,6,5,False
216,7,9,7,True
217,6,8,6,True
218,4,5,5,False
219,2,6,6,False
220,6,8,6,True
221,6,4,6,True
222,2,1,2,True
223,4,3,5,False
224,3,8,3,True
225,0,2,0,True
226,3,9,9,False
227,2,1,2,True
228,9,8,9,True
229,1,5,1,True
230,4,6,6,False
231,9,4,4,False
232,0,9,0,True
233,4,9,4,True
234,2,1,6,False
235,4,3,4,True
236,8,6,8,True
237,2,1,2,True
238,2,6,2,True
239,7,8,7,True
240,0,9,0,True
241,8,1,8,True
242,4,6,4,True
243,1,7,1,True
244,2,7,2,True
245,6,8,6,True
246,5,7,7,False
247,9,0,9,True
248,6,1,2,False
249,6,1,6,True
250,9,1,9,True
251,9,0,9,True
252,1,2,1,True
253,6,2,2,False
254,4,9,9,False
255,3,2,3,True
256,7,2,7,True
257,1,3,1,True
258,9,5,9,True
259,6,0,6,True
260,7,6,1,False
261,6,2,6,True
262,5,4,5,True
263,4,5,4,True
264,7,5,7,True
265,9,6,9,True
266,0,6,0,True
267,0,5,0,True
268,7,0,7,True
269,4,7,4,True
270,4,8,4,True
271,1,4,1,True
272,9,3,9,True
273,2,3,3,False
274,2,4,2,True
275,4,8,4,True
276,8,4,8,True
277,6,5,6,True
278,6,8,6,True
279,7,2,4,False
280,3,1,1,False
281,8,6,8,True
282,0,6,0,True
283,4,0,4,True
284,6,1,6,True
285,4,0,4,True
286,3,1,3,True
287,9,8,9,True
288,6,1,6,True
289,9,0,9,True
290,7,1,7,True
291,0,2,0,True
292,0,7,0,True
293,5,3,5,True
294,4,1,4,True
295,0,2,0,True
296,8,9,8,True
297,0,3,0,True
298,5,4,5,True
299,1,8,1,True
300,9,7,9,True
301,0,2,0,True
302,1,4,1,True
303,5,8,5,True
304,5,1,5,True
305,1,0,1,True
306,8,2,8,True
307,7,9,7,True
308,9,1,9,True
309,1,5,1,True
310,6,8,5,False
311,0,7,0,True
312,1,8,1,True
313,8,7,5,False
314,1,9,1,True
315,3,2,3,True
316,0,5,0,True
317,1,3,1,True
318,6,7,6,True
319,1,3,1,True
320,8,5,8,True
321,6,3,6,True
322,5,0,7,False
323,3,6,6,False
324,9,1,4,False
325,3,5,5,False
326,6,5,0,False
327,7,3,7,True
328,7,0,7,True
329,9,6,9,True
330,7,8,7,True
331,8,3,8,True
332,1,8,1,True
333,8,3,8,True
334,5,0,5,True
335,3,8,3,True
336,1,6,1,True
337,4,6,4,True
338,0,6,0,True
339,8,4,8,True
340,4,7,7,False
341,6,1,6,True
342,5,7,5,True
343,3,9,3,True
344,1,5,1,True
345,4,0,4,True
346,5,3,5,True
347,2,4,2,True
348,3,8,5,False
349,7,0,7,True
350,8,9,9,False
351,8,0,8,True
352,7,2,2,False
353,1,6,1,True
354,1,5,9,False
355,8,2,8,True
356,3,9,3,True
357,7,4,7,True
358,6,4,6,True
359,9,8,9,True
360,8,7,8,True
361,4,8,4,True
362,6,7,6,True
363,1,5,1,True
364,7,5,7,True
365,0,5,0,True
366,1,6,1,True
367,0,7,0,True
368,3,7,3,True
369,9,7,7,False
370,1,2,1,True
371,0,1,0,True
372,5,2,5,True
373,1,2,1,True
374,9,2,9,True
375,4,7,9,False
376,5,0,5,True
377,8,4,8,True
378,4,7,4,True
379,0,6,6,False
380,9,8,9,True
381,7,4,7,True
382,3,9,3,True
383,6,8,0,False
384,4,9,4,True
385,4,7,4,True
386,6,5,6,True
387,2,4,2,True
388,6,0,6,True
389,6,2,6,True
390,1,8,1,True
391,6,9,6,True
392,7,8,7,True
393,0,3,0,True
394,8,3,3,False
395,9,2,9,True
396,0,1,0,True
397,5,7,5,True
398,3,7,3,True
399,3,9,4,False
400,4,1,4,True
401,8,1,8,True
402,2,6,2,True
403,0,9,0,True
404,6,3,2,False
405,9,6,4,False
406,5,2,6,False
407,6,1,6,True
408,4,6,4,True
409,9,8,9,True
410,7,6,7,True
411,8,3,8,True
412,8,7,8,True
413,4,3,3,False
414,7,9,7,True
415,1,7,1,True
416,1,4,1,True
417,5,2,0,False
418,9,7,7,False
419,6,2,6,True
420,7,2,7,True
421,5,8,5,True
422,5,2,5,True
423,2,1,2,True
424,8,7,8,True
425,1,8,1,True
426,9,4,9,True
427,7,6,7,True
428,3,0,3,True
429,7,3,7,True
430,7,8,7,True
431,9,8,9,True
432,2,5,3,False
433,5,7,5,True
434,7,3,7,True
435,8,3,8,True
436,0,9,0,True
437,1,8,1,True
438,4,5,4,True
439,7,9,9,False
440,8,5,5,False
441,8,3,1,False
442,3,9,3,True
443,6,9,6,True
444,2,8,2,True
445,0,7,0,True
446,1,3,1,True
447,0,9,0,True
448,7,8,7,True
449,6,9,4,False
450,7,1,7,True
451,0,6,0,True
452,9,5,3,False
453,2,0,2,True
454,3,9,3,True
455,1,2,1,True
456,9,1,9,True
457,2,8,6,False
458,9,1,9,True
459,3,8,3,True
460,8,6,6,False
461,3,7,3,True
462,5,2,5,True
463,8,1,8,True
464,4,2,4,True
465,5,4,4,False
466,9,3,9,True
467,5,4,6,False
468,2,3,2,True
469,9,4,9,True
470,0,1,0,True
471,7,2,7,True
472,4,8,4,True
473,2,5,0,False
474,9,3,9,True
475,4,6,4,True
476,8,7,8,True
477,0,6,0,True
478,4,7,9,False
479,5,0,5,True
480,4,7,4,True
481,8,4,8,True
482,9,4,4,False
483,5,1,5,True
484,9,6,4,False
485,3,7,3,True
486,0,3,0,True
487,5,1,5,True
488,9,1,9,True
489,9,1,7,False
490,2,4,2,True
491,5,9,5,True
492,8,3,8,True
493,3,6,3,True
494,2,4,2,True
495,9,7,7,False
496,3,0,3,True
497,4,5,4,True
498,5,1,5,True
499,7,9,7,True
500,9,8,9,True
501,5,9,5,True
502,9,8,9,True
503,0,5,0,True
504,2,0,2,True
505,3,0,3,True
506,8,9,8,True
507,5,7,4,False
508,7,4,7,True
509,3,2,3,True
510,9,1,8,False
511,0,2,0,True
512,0,4,6,False
513,3,4,3,True
514,3,7,3,True
515,1,5,1,True
516,1,9,1,True
517,6,4,6,True
518,3,1,3,True
519,4,8,4,True
520,2,1,2,True
521,3,9,3,True
522,6,1,2,False
523,1,9,1,True
524,4,1,4,True
525,2,1,2,True
526,9,6,5,False
527,3,9,3,True
528,2,1,2,True
529,1,3,1,True
530,6,2,6,True
531,5,3,3,False
532,3,4,3,True
533,3,7,3,True
534,2,3,2,True
535,8,6,8,True
536,7,8,7,True
537,6,8,6,True
538,9,5,9,True
539,0,6,0,True
540,6,1,2,False
541,8,4,8,True
542,9,3,9,True
543,4,1,4,True
544,6,8,6,True
545,4,8,4,True
546,4,6,6,False
547,0,2,0,True
548,7,5,7,True
549,3,5,3,True
550,9,6,4,False
551,9,7,9,True
552,9,7,7,False
553,0,5,0,True
554,4,8,9,False
555,8,0,3,False
556,9,1,9,True
557,4,9,4,True
558,3,5,3,True
559,7,8,7,True
560,1,0,1,True
561,8,0,3,False
562,2,1,2,True
563,1,0,1,True
564,2,7,2,True
565,2,0,2,True
566,9,7,9,True
567,2,4,2,True
568,4,8,4,True
569,9,3,7,False
570,5,0,3,False
571,9,5,9,True
572,8,9,8,True
573,8,5,8,True
574,6,2,2,False
575,3,9,4,False
576,6,5,6,True
577,6,7,6,True
578,1,8,1,True
579,9,7,1,False
580,9,2,4,False
581,9,6,4,False
582,1,2,1,True
583,2,7,2,True
584,0,8,0,True
585,8,0,8,True
586,0,5,0,True
587,5,1,5,True
588,3,6,3,True
589,3,5,3,True
590,4,3,4,True
591,1,0,1,True
592,8,9,8,True
593,8,3,8,True
594,5,3,5,True
595,7,6,7,True
596,1,7,1,True
597,0,3,3,False
598,2,6,2,True
599,5,9,5,True
600,4,8,4,True
601,3,5,3,True
602,7,5,7,True
603,3,9,3,True
604,8,5,8,True
605,2,7,2,True
606,2,7,0,False
607,2,3,2,True
608,9,2,4,False
609,8,2,8,True
610,7,4,9,False
611,9,5,9,True
612,2,1,2,True
613,3,9,2,False
614,2,9,2,True
615,0,3,0,True
616,1,5,1,True
617,9,0,7,False
618,7,0,7,True
619,9,3,4,False
620,2,6,2,True
621,4,8,9,False
622,6,2,6,True
623,0,5,0,True
624,9,6,9,True
625,9,1,7,False
626,4,9,4,True
627,9,4,9,True
628,9,8,4,False
629,6,3,2,False
630,1,2,1,True
631,2,4,6,False
632,5,8,5,True
633,0,5,0,True
634,8,4,8,True
635,9,0,9,True
636,4,6,4,True
637,7,4,7,True
638,7,0,3,False
639,1,3,1,True
640,4,0,4,True
641,7,0,7,True
642,5,1,3,False
643,3,6,3,True
644,3,1,3,True
645,8,5,3,False
646,5,8,5,True
647,1,6,1,True
648,4,0,4,True
649,8,4,8,True
650,3,5,3,True
651,3,4,4,False
652,3,2,2,False
653,1,3,1,True
654,5,3,5,True
655,3,5,3,True
656,0,8,8,False
657,5,7,5,True
658,9,3,7,False
659,8,3,8,True
660,6,7,6,True
661,2,6,2,True
662,1,9,1,True
663,0,3,0,True
664,5,2,2,False
665,8,3,8,True
666,2,8,2,True
667,0,6,0,True
668,1,8,1,True
669,3,8,3,True
670,6,5,6,True
671,1,7,1,True
672,2,9,2,True
673,6,1,6,True
674,3,7,3,True
675,9,2,2,False
676,4,1,4,True
677,5,4,4,False
678,5,9,5,True
679,1,2,1,True
680,2,5,3,False
681,3,7,3,True
682,6,3,6,True
683,1,3,1,True
684,9,1,4,False
685,6,8,6,True
686,7,4,7,True
687,5,7,5,True
688,9,4,4,False
689,8,5,8,True
690,4,1,4,True
691,2,8,3,False
692,6,8,6,True
693,7,5,7,True
694,7,1,7,True
695,9,1,7,False
696,5,0,0,False
697,4,7,4,True
698,6,1,2,False
699,1,9,1,True
700,1,9,1,True
701,4,8,4,True
702,0,3,0,True
703,6,3,6,True
704,4,5,4,True
705,9,4,9,True
706,7,1,7,True
707,9,0,7,False
708,5,2,6,False
709,1,6,1,True
710,0,3,5,False
711,3,1,3,True
712,7,9,7,True
713,1,0,1,True
714,6,8,6,True
715,3,7,3,True
716,5,1,1,False
717,8,9,8,True
718,1,7,1,True
719,5,3,5,True
720,4,6,4,True
721,6,9,6,True
722,2,4,2,True
723,6,5,6,True
724,0,7,0,True
725,9,7,7,False
726,1,6,1,True
727,3,5,3,True
728,8,6,8,True
729,9,1,4,False
730,2,1,1,False
731,9,7,7,False
732,0,2,6,False
733,7,3,7,True
734,9,6,6,False
735,0,6,0,True
736,5,7,5,True
737,7,2,7,True
738,4,3,4,True
739,1,4,1,True
740,3,0,3,True
741,3,0,3,True
742,3,0,3,True
743,7,2,7,True
744,3,4,3,True
745,4,9,4,True
746,3,9,3,True
747,2,0,2,True
748,8,3,3,False
749,2,0,2,True
750,6,5,6,True
751,2,9,2,True
752,8,0,8,True
753,0,5,0,True
754,3,6,3,True
755,7,5,7,True
756,1,8,1,True
757,7,1,7,True
758,1,2,1,True
759,8,7,8,True
760,3,8,3,True
761,3,4,8,False
762,9,2,4,False
763,2,4,2,True
764,4,2,2,False
765,5,9,5,True
766,5,0,5,True
767,7,0,7,True
768,3,6,3,True
769,7,5,7,True
770,7,5,7,True
771,3,1,3,True
772,0,8,0,True
773,3,2,3,True
774,7,3,7,True
775,1,2,1,True
776,3,0,3,True
777,0,8,0,True
778,3,8,3,True
779,7,1,7,True
780,7,0,7,True
781,2,4,2,True
782,9,2,2,False
783,7,0,7,True
784,6,7,6,True
785,1,3,1,True
786,2,7,2,True
787,0,3,0,True
788,1,9,1,True
789,3,8,3,True
790,0,9,0,True
791,5,0,5,True
792,4,3,4,True
793,9,6,9,True
794,8,9,8,True
795,6,9,4,False
796,2,0,8,False
797,0,3,0,True
798,1,7,1,True
799,4,7,9,False
800,5,2,5,True
801,1,6,1,True
802,9,7,7,False
803,0,7,0,True
804,4,5,4,True
805,4,6,4,True
806,4,6,4,True
807,7,6,7,True
808,6,1,2,False
809,3,4,3,True
810,8,5,5,False
811,1,0,1,True
812,6,2,2,False
813,8,0,8,True
814,6,5,6,True
815,9,4,4,False
816,8,5,5,False
817,4,2,4,True
818,6,9,6,True
819,4,0,4,True
820,2,3,2,True
821,7,9,7,True
822,3,6,3,True
823,7,6,7,True
824,7,5,7,True
825,4,3,4,True
826,8,4,5,False
827,1,9,1,True
828,3,1,1,False
829,2,5,0,False
830,2,0,2,True
831,1,5,1,True
832,4,6,4,True
833,4,9,4,True
834,1,7,1,True
835,0,7,0,True
836,6,5,6,True
837,9,1,9,True
838,7,4,7,True
839,0,4,0,True
840,0,9,0,True
841,9,1,4,False
842,3,2,3,True
843,6,4,6,True
844,4,0,4,True
845,0,9,0,True
846,9,8,9,True
847,7,0,7,True
848,7,0,7,True
849,5,2,0,False
850,6,5,6,True
851,0,1,6,False
852,2,8,2,True
853,1,0,1,True
854,8,1,8,True
855,1,0,1,True
856,0,1,0,True
857,3,1,1,False
858,7,5,7,True
859,1,2,1,True
860,4,1,4,True
861,5,9,5,True
862,2,5,2,True
863,0,3,0,True
864,1,6,1,True
865,1,8,1,True
866,4,2,4,True
867,5,1,5,True
868,0,5,6,False
869,2,8,2,True
870,9,0,9,True
871,0,4,0,True
872,7,9,7,True
873,1,9,1,True
874,4,2,4,True
875,1,9,1,True
876,6,7,6,True
877,3,9,3,True
878,7,3,7,True
879,2,3,2,True
880,1,5,1,True
881,7,2,7,True
882,7,3,7,True
883,2,8,2,True
884,6,0,2,False
885,9,3,9,True
886,9,8,4,False
887,2,6,2,True
888,2,7,2,True
889,1,3,1,True
890,1,7,1,True
891,6,7,6,True
892,0,2,6,False
893,0,5,0,True
894,9,5,9,True
895,0,1,0,True
896,0,3,0,True
897,2,0,2,True
898,5,6,4,False
899,9,6,9,True
900,2,9,2,True
901,6,5,6,True
902,8,5,8,True
903,1,2,1,True
904,0,5,0,True
905,4,1,4,True
906,4,9,4,True
907,6,7,6,True
908,0,7,0,True
909,5,4,3,False
910,3,6,3,True
911,3,5,3,True
912,1,8,3,False
913,6,9,6,True
914,3,1,3,True
915,5,1,5,True
916,4,6,6,False
917,4,5,9,False
918,5,2,8,False
919,5,1,5,True
920,0,1,0,True
921,7,0,7,True
922,9,8,9,True
923,1,5,1,True
924,1,8,1,True
925,2,4,2,True
926,3,1,3,True
927,9,7,9,True
928,1,2,1,True
929,5,1,5,True
930,6,9,6,True
931,3,7,3,True
932,2,0,2,True
933,0,6,0,True
934,2,0,2,True
935,4,0,4,True
936,1,9,1,True
937,6,2,2,False
938,3,5,3,True
939,8,3,8,True
940,1,9,1,True
941,7,1,7,True
942,6,5,6,True
943,2,9,2,True
944,6,9,6,True
945,4,6,4,True
946,7,9,7,True
947,5,2,5,True
948,7,3,7,True
949,6,8,6,True
950,9,1,4,False
951,4,5,4,True
952,0,6,0,True
953,0,9,0,True
954,3,4,3,True
955,0,1,0,True
956,0,2,0,True
957,0,2,0,True
958,1,7,1,True
959,3,8,5,False
960,4,2,1,False
961,0,5,0,True
962,7,5,7,True
963,2,7,4,False
964,1,8,1,True
965,2,1,2,True
966,9,8,9,True
967,7,3,7,True
968,7,3,7,True
969,6,9,4,False
970,6,4,0,False
971,7,2,8,False
972,7,8,7,True
973,6,3,6,True
974,9,1,9,True
975,3,1,3,True
976,3,2,3,True
977,8,5,3,False
978,1,9,1,True
979,3,1,3,True
980,3,5,3,True
981,6,1,6,True
982,0,2,0,True
983,0,4,0,True
984,7,3,7,True
985,1,9,1,True
986,5,7,5,True
987,6,4,6,True
988,2,7,2,True
989,0,5,0,True
990,1,2,1,True
991,7,9,7,True
992,2,7,2,True
993,6,5,0,False
994,4,5,4,True
995,8,3,3,False
996,8,3,2,False
997,1,2,1,True
998,1,5,1,True
999,7,6,7,True
